,Title,Link,Image,Author,Date,time
0,Webinar: 8 Difficulties When Entering Chinese Market by Airbnb fmr PM,https://www.eventbrite.com/e/webinar-8-difficulties-when-entering-chinese-market-by-airbnb-fmr-pm-tickets-107743387372?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11133513/AirBnB-square.png,Julian Leung,"Monday, July 6th, 2020",11:30AM - 12:00PM (PT) 
1,Webinar: How to Become Better at Prioritization by fmr Dropbox PM,https://www.eventbrite.com/e/webinar-how-to-become-better-at-prioritization-by-fmr-dropbox-pm-tickets-107753022190?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/09122045/Dropbox-square-2.jpg,Ketan Nayak,"Monday, July 6th, 2020",2:00PM - 2:30PM (PT) 
2,Product Management Live Chat by Target Director of PM,https://www.eventbrite.com/e/product-management-live-chat-by-target-director-of-pm-tickets-104427894644?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11140229/Target-square.png,Sada Kshirsagar,"Tuesday, July 7th, 2020",10:30AM - 11:00AM (PT) 
3,Webinar: How to Work With a Finance Team? by DAZN Sr PM,https://www.eventbrite.com/e/webinar-how-to-work-with-a-finance-team-by-dazn-sr-pm-tickets-107747818626?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/03/27142648/DAZN.png,Richard Giannetti,"Tuesday, July 7th, 2020",11:30AM - 12:00PM (PT) 
4,Webinar: How to Break Into Product Management by Uber Sr PM,https://www.eventbrite.com/e/webinar-best-practices-of-product-interviewing-by-fmr-lyft-sr-pm-tickets-108143056794?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Richa Pareek,"Tuesday, July 7th, 2020",2:00PM - 2:30PM (PT) 
5,Fireside Chat with Chartio CEO,https://www.eventbrite.com/e/fireside-chat-with-chartio-ceo-tickets-104021834106?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/02/18152355/Chartio.png,Dave Fowler,"Wednesday, July 8th, 2020",11:30AM - 12:00PM (PT) 
6,Webinar: How to Identify Product Opportunities by LinkedIn PM,https://www.eventbrite.com/e/webinar-how-to-identify-product-opportunities-by-linkedin-pm-tickets-107971489632?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/23172919/Linkedin_logo_new.png,Brady Simpson,"Wednesday, July 8th, 2020",2:00PM - 2:30PM (PT) 
7,Webinar: Driving Machine Learning Roadmaps by Amazon Sr Tech PM,https://www.eventbrite.com/e/webinar-driving-machine-learning-roadmaps-by-amazon-sr-tech-pm-tickets-104663387008?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Prerna Kaul,"Friday, July 10th, 2020",11:30AM - 12:00PM (PT) 
8,Webinar: Building an eCommerce Catalog by Walmart Group PM,https://www.eventbrite.com/e/webinar-building-an-ecommerce-catalog-by-walmart-sr-pm-tickets-108698801040?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11134244/walmart-square.png,Lara Ganesan,"Friday, July 10th, 2020",2:00PM - 2:30PM (PT) 
9,Webinar: Leading in Times of Crisis by Instagram PM,https://www.eventbrite.com/e/webinar-leading-in-times-of-crisis-by-instagram-pm-tickets-108482590348?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/07/23102251/instagram-logo.png,Deotima Mukherjee,"Saturday, July 11th, 2020",11:30AM - 12:00PM (PT) 
10,Webinar: Hacking Your Product Management Interview by Google PM,https://www.eventbrite.com/e/webinar-hacking-your-product-management-interview-by-google-pm-tickets-108870073320?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Jeremy Lewallen,"Sunday, July 12th, 2020",11:30AM - 12:00PM (PT) 
11,Webinar: Planning for the Future by fmr Square Product Lead,https://www.eventbrite.com/e/webinar-planning-for-the-future-by-square-product-lead-tickets-108441597738?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/11/28154716/square_ogo.jpg,Thorsten Jaeckel,"Monday, July 13th, 2020",11:30AM - 12:00PM (PT) 
12,Webinar: How to Build Great Products by Dropbox PM,https://www.eventbrite.com/e/webinar-how-to-build-great-products-by-dropbox-pm-tickets-108441599744?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/09122045/Dropbox-square-2.jpg,Tansik Koyuncu,"Monday, July 13th, 2020",2:00PM - 2:30PM (PT) 
13,Webinar: How Much Should We Commit by WeWork Product Lead,https://www.eventbrite.com/e/webinar-how-much-should-we-commit-by-wework-product-lead-tickets-109362215330?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/12/08114808/WeWork-square-14.jpg,Asaf Bord,"Monday, July 13th, 2020",2:00PM - 2:30PM (PT) 
14,Product Management Live Chat by Shopify Senior Product Lead,https://www.eventbrite.com/e/product-management-live-chat-by-shopify-senior-product-lead-tickets-104450341784?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/5101/49/07144959/Shopify-square.png,Miqdad Jaffer,"Tuesday, July 14th, 2020",10:30AM - 11:00AM (PT) 
15,Webinar: Building Platforms as Part of a Large Org. by Google PM,https://www.eventbrite.com/e/webinar-building-platforms-as-part-of-a-large-org-by-google-pm-tickets-110610027570?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Monica Ugwi,"Tuesday, July 14th, 2020",11:30AM - 12:00PM (PT) 
16,Webinar: Transition into PM from Non-Tech Fields by fmr Weedmaps Sr PM,https://www.eventbrite.com/e/webinar-transition-into-pm-from-non-tech-fields-by-fmr-weedmaps-sr-pm-tickets-109138817140?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/06124014/weedmaps.png,Carl Davidson,"Tuesday, July 14th, 2020",2:00PM - 2:30PM (PT) 
17,Webinar: B2B vs B2C Product Management by Walmart Sr Group PM,https://www.eventbrite.com/e/webinar-the-future-of-product-management-by-walmart-sr-pm-tickets-108442065136?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/13134848/walmart-square.png,Rekha Venkatakrishnan,"Wednesday, July 15th, 2020",11:30AM - 12:00PM (PT) 
18,Fireside Chat with UserVoice President,https://www.eventbrite.com/e/fireside-chat-with-uservoice-ceo-tickets-104635246840?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/08113424/uservoice-logo.png,Matt Young,"Wednesday, July 15th, 2020",1:00PM - 1:30PM (PT) 
19,Webinar: Product Portfolio Management by Moody's Analytics Dir PM,https://www.eventbrite.com/e/webinar-product-portfolio-management-by-moodys-analytics-dir-pm-tickets-109139641606?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/06/11151301/MA_RGB_Blue-e1591888404398.jpg,Deepak Parmani,"Wednesday, July 15th, 2020",2:00PM - 2:30PM (PT) 
20,Product Management Live Chat by fmr Yahoo Senior PM,https://www.eventbrite.com/e/product-management-live-chat-by-fmr-yahoo-senior-pm-tickets-104427988926?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/11/29105711/yahoo.jpg,Derek Kwan,"Thursday, July 16th, 2020",10:30AM - 11:00AM (PT) 
21,Webinar: Behind the Scenes of Recruiting by fmr Amazon Recruiting Manager,https://www.eventbrite.com/e/webinar-how-do-recruiters-work-by-fmr-amazon-recruiting-manager-tickets-108443220592?aff=pswebsite,https://productschool.com/wp-content/themes/productschool-v3//build/assets/favicon/apple-touch-icon.png,Erwin Chan,"Thursday, July 16th, 2020",11:30AM - 12:30PM (PT) 
22,Webinar: Building for the Next Billion by Google Product Manager,https://www.eventbrite.com/e/building-for-the-next-billion-by-google-product-manager-tickets-88638463029?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Shreyas Deshmukh,"Thursday, July 16th, 2020",2:00PM - 2:30PM (PT) 
23,Webinar: Navigating Ambiguity Through Prioritization by Uber Product Lead,https://www.eventbrite.com/e/webinar-navigating-ambiguity-through-prioritization-by-uber-product-lead-tickets-108967117582?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Akash Gupta,"Friday, July 17th, 2020",11:30AM - 12:00PM (PT) 
24,Webinar: Optimize to Learn Early in Your PM Career by fmr Uber PM,https://www.eventbrite.com/e/webinar-how-to-keep-your-team-motivated-by-fmr-uber-pm-tickets-108443439246?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Anthony Emberley,"Friday, July 17th, 2020",2:00PM - 2:30PM (PT) 
25,Webinar: Level Up Your Tech Skills to Build Better Products by Upwork PM,https://www.eventbrite.com/e/webinar-level-your-tech-skills-to-build-better-products-by-upwork-pm-tickets-108439336976?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/06/08102839/Upwork.png,Rachel Moore,"Saturday, July 18th, 2020",11:30AM - 12:00PM (PT) 
26,Webinar: What Sucks About Product Management by Salesforce Sr PM,https://www.eventbrite.com/e/webinar-what-sucks-about-product-management-by-salesforce-sr-pm-tickets-108701767914?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/12/17182456/salesforce_.jpg,Martie Burris,"Monday, July 20th, 2020",11:30AM - 12:00PM (PT) 
27,Product Management Live Chat by Expedia Senior Product Manager,https://www.eventbrite.com/e/product-management-live-chat-by-expedia-senior-product-manager-tickets-101055565918?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/08/17123633/Expedia.png,Laura Edwards,"Tuesday, July 21st, 2020",10:30AM - 11:00AM (PT) 
28,Fireside Chat with fmr Tinder CPO,https://www.eventbrite.com/e/fireside-chat-with-fmr-tinder-cpo-tickets-109291343350?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/08/11134423/tinder-square-1.png,Carlos Gonz치lez De Villaumbrosia and Ravi Mehta,"Tuesday, July 21st, 2020",11:30AM - 12:00PM (PT) 
29,Webinar: Being a Remote Product Manager by Groupon Sr PM,https://www.eventbrite.com/e/webinar-being-a-remote-product-manager-by-groupon-sr-pm-tickets-108967298122?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/11/08103840/joboffer-groupon.png,Gary Webb,"Tuesday, July 21st, 2020",2:00PM - 2:30PM (PT) 
30,Webinar: Why Retention is the New Growth for Product Leaders,https://www.eventbrite.com/e/webinar-why-retention-is-the-new-growth-for-product-leaders-tickets-109291716466?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/12/08134030/Pendo.io-square6.png,Bella Renney and Chad Burnette,"Wednesday, July 22nd, 2020",11:30AM - 12:00PM (PT) 
31,"Webinar: Communicating with Humans, the PM Way by Expedia PM",https://www.eventbrite.com/e/webinar-communicating-with-humans-the-pm-way-by-expedia-pm-tickets-109366947484?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/30140232/Expedia-Group-square.jpg,Swathi Kantharaja,"Wednesday, July 22nd, 2020",2:00PM - 2:30PM (PT) 
32,Product Management Live Chat by fmr Amex Dir of Digital Product,https://www.eventbrite.com/e/product-management-live-chat-by-fmr-amex-dir-of-digital-product-tickets-105083485534?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/01/24140715/american_express.png,Michael Mayers,"Thursday, July 23rd, 2020",10:30AM - 11:00AM (PT) 
33,Webinar: Invest or Kill a Product No One Wants to Manage by CNN Sr PM,https://www.eventbrite.com/e/webinar-going-from-zero-to-hero-with-your-product-by-cnn-sr-pm-tickets-110610972396?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/07/10090855/CNN-SQUARE.png,Narain Bala,"Thursday, July 23rd, 2020",11:30AM - 12:00PM (PT) 
34,Webinar: Growth Optimization: Metrics & Frameworks by fmr Airbnb PM,https://www.eventbrite.com/e/webinar-growth-optimization-metrics-frameworks-by-fmr-airbnb-pm-tickets-109291720478?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11133513/AirBnB-square.png,Michael Houck,"Thursday, July 23rd, 2020",2:00PM - 2:30PM (PT) 
35,Webinar: Product Strategy & The Time Poor PM by Intercom Sr PM,https://www.eventbrite.com/e/webinar-product-strategy-the-time-poor-pm-by-intercom-sr-pm-tickets-107689851244?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132329/Intercom.png,Mathew Cropper,"Thursday, July 23rd, 2020",2:00PM - 2:30PM (PT) 
36,Webinar: Setup Your Team for Remote Product Discovery by CNN Sr PM,https://www.eventbrite.com/e/webinar-setup-your-team-for-remote-product-discovery-by-cnn-sr-pm-tickets-106949520896?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/07/10090855/CNN-SQUARE.png,Jarrett Blankenship,"Friday, July 24th, 2020",11:30AM - 12:00PM (PT) 
37,Webinar: Working Cross-Functionally as a PM by eBay Sr PM,https://www.eventbrite.com/e/webinar-working-cross-functionally-as-a-pm-by-ebay-sr-pm-tickets-110610974402?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/09083853/ebay_logo_square.png,Shrikant Kadu,"Friday, July 24th, 2020",2:00PM - 2:30PM (PT) 
38,Webinar: How to Work with Engineers as PM by Google Product Lead,https://www.eventbrite.com/e/how-to-work-with-engineering-as-pms-by-google-product-lead-tickets-89776372547?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Israel Shalom,"Saturday, July 25th, 2020",11:30AM - 12:00PM (PT) 
39,Webinar: How to Get a Group on the Same Page by Google PM,https://www.eventbrite.com/e/webinar-how-to-get-a-group-on-the-same-page-by-google-pm-tickets-109139643612?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Darko Vukovic,"Sunday, July 26th, 2020",11:30AM - 12:00PM (PT) 
40,Webinar: B2B vs B2C Product Management by Uber Sr PM,https://www.eventbrite.com/e/webinar-b2b-vs-b2c-product-management-by-uber-sr-pm-tickets-110255152128?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Shobha Subramanian,"Monday, July 27th, 2020",11:30AM - 12:00PM (PT) 
41,Webinar: The TIES Product Planning Model by The Washington Post Sr PM,https://www.eventbrite.com/e/webinar-the-ties-product-planning-model-by-the-washington-post-sr-pm-tickets-111126169364?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/06/25070808/washington-post-logo-1-e1593093558197.png,Ryan Luu,"Monday, July 27th, 2020",2:00PM - 2:30PM (PT) 
42,Product Management Live Chat by Uber Product Lead,https://www.eventbrite.com/e/product-management-live-chat-by-uber-product-lead-tickets-102683872226?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/08135806/Uber-circle-19.jpg,Sunil Parekh,"Tuesday, July 28th, 2020",10:30AM - 11:00AM 
43,Webinar: Remote Product Management by fmr Google PM,https://www.eventbrite.com/e/webinar-remote-product-management-by-google-pm-tickets-109805124082?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Vivek Gandhi,"Tuesday, July 28th, 2020",11:30AM - 12:00PM (PT) 
44,Fireside Chat with Mural CEO,https://www.eventbrite.com/e/fireside-chat-with-mural-ceo-tickets-106217567604?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132118/Mural.png,Carlos Gonz치lez De Villaumbrosia and Mariano Suarez Battan,"Tuesday, July 28th, 2020",1:00PM - 1:30PM (PT) 
45,Webinar: ML Models to Drive Engagement in eCommerce by eBay Sr PM,https://www.eventbrite.com/e/webinar-ml-models-to-drive-engagement-in-ecommerce-by-ebay-sr-pm-tickets-111126390024?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/09083853/ebay_logo_square.png,Tuhin Verma,"Tuesday, July 28th, 2020",2:00PM - 2:30PM (PT) 
46,How to Hack Your Linkedin Profile for Product Managers,https://www.eventbrite.com/e/webinar-how-to-optimize-your-linkedin-profile-to-land-a-pm-job-tickets-96864206449?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/23172919/Linkedin_logo_new.png,"Wednesday, July 29th, 2020",11:30AM - 12:00PM (PT) ,Online
47,Webinar: Machine Learning for Product Managers by Google PM,https://www.eventbrite.com/e/webinar-machine-learning-for-product-managers-by-google-pm-tickets-111288535004?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Anusha Ramesh,"Wednesday, July 29th, 2020",2:00PM - 2:30PM (PT) 
